Token	Corpus	Speaker_ID	Genre	Type	SemanticRelation	Whole.Genitive	Possessor	Possessor.Head	Possessor.Expression.Type	Final.Sibilant	Possessum	Possessum.Head	Possessor.Animacy2	Possessum.Animacy2	Possessor.Animacy3	Possessor.Animacy5	PossessorThematicity	Possessor.Length	Possessum.Length	New.TTR	ProtoSemanticRelation
bk11.0032.01	Brown	BK11	General Fiction	of	BOD	the face  of that vile creature	that vile creature	creature	CommonN	N	the face	face	animate	inanimate	animate	animate	-3.301029996	3	2	72	Y
bk02.0033.01	Brown	BK02	General Fiction	of	BOD	the hands  of a+little Mexican named Martinez	a+little Mexican named Martinez	Mexican	CommonN	Y	the hands	hands	animate	inanimate	animate	animate	-3.301029996	4	2	77	Y
bk11.0087.01	Brown	BK11	General Fiction	of	BOD	the hands  of Jed Hawksworth	Jed Hawksworth	Jed Hawksworth	ProperN	N	the hands	hands	animate	inanimate	animate	animate	-3.301029996	2	2	75	Y
bk03.0049.02	Brown	BK03	General Fiction	of	BOD	the neck  of a wounded Filipino	a wounded Filipino	Filipino	CommonN	N	the neck	neck	animate	inanimate	animate	animate	-3.301029996	3	2	77	Y
bk01.0086.02	Brown	BK01	General Fiction	s	BOD	a moth's wing	a moth's	moth	CommonN	N	wing	wing	animate	inanimate	animate	animate	-3.301029996	2	1	82.35294118	Y
bk12.0016.02	Brown	BK12	General Fiction	s	BOD	her husband's drugged body	her husband's	husband	CommonN	N	drugged body	body	animate	inanimate	animate	animate	-3	2	2	81	Y
bk10.0043.05	Brown	BK10	General Fiction	s	BOD	his mother's hand	his mother's	mother	CommonN	N	hand	hand	animate	inanimate	animate	animate	-3	2	1	76	Y
bk14.0031.02	Brown	BK14	General Fiction	s	BOD	the Madonna's slender legs and feet	the Madonna's	Madonna	CommonN	N	slender legs and feet	legs	animate	inanimate	animate	animate	-3	2	4	78	Y
bk10.0123.01	Brown	BK10	General Fiction	s	BOD	Eli's flowing white locks and rugged features	Eli's	Eli	ProperN	N	flowing white locks and rugged features	features	animate	inanimate	animate	animate	-2.823908741	1	6	77	Y
bk10.0098.01	Brown	BK10	General Fiction	s	BOD	Eli's hand	Eli's	Eli	ProperN	N	hand	hand	animate	inanimate	animate	animate	-2.823908741	1	1	75	Y
bk05.0051.01	Brown	BK05	General Fiction	s	BOD	Frederick Seward's head	Frederick Seward's	Frederick Seward	ProperN	N	head	head	animate	inanimate	animate	animate	-2.823908741	2	1	77	Y
bk02.0091.01	Brown	BK02	General Fiction	of	BOD	the heads  of the rest of the patrol	the rest of the patrol	rest	CommonN	N	the heads	heads	animate	inanimate	animate	animate	-2.823908741	5	2	72	Y
bk06.0036.02	Brown	BK06	General Fiction	s	BOD	his Mama's arms	his Mama's	Mama	CommonN	N	arms	arms	animate	inanimate	animate	animate	-2.698970004	2	1	82.8125	Y
bk06.0089.01	Brown	BK06	General Fiction	s	BOD	a boy's lively eyes	a boy's	boy	CommonN	N	lively eyes	eyes	animate	inanimate	animate	animate	-2.698970004	2	2	79.48717949	Y
