word.cnt	speaker.ab	conv.id	gender	mixed
1157	A	5851	F	N
588	B	5851	F	N
934	A	5852	F	N
542	B	5852	F	N
605	A	5853	F	N
977	B	5853	F	N
484	A	5854	F	N
1221	B	5854	F	N
442	A	5855	F	N
877	B	5855	F	N
757	A	5856	F	N
901	B	5856	F	N
862	A	5857	F	N
852	B	5857	F	N
977	A	5858	F	N
641	B	5858	F	N
801	A	5859	F	N
403	B	5859	F	N
718	A	5860	F	N
1107	B	5860	F	N
982	A	5861	F	N
408	B	5861	F	N
603	A	5862	F	N
768	B	5862	F	N
1076	A	5863	F	N
563	B	5863	F	N
559	A	5864	F	N
847	B	5864	F	N
1101	A	5865	F	N
393	B	5865	F	N
1136	A	5866	F	N
581	B	5866	F	N
781	A	5867	F	N
854	B	5867	F	N
475	A	5868	F	N
947	B	5868	F	N
860	A	5869	F	N
589	B	5869	F	N
798	A	5870	F	N
852	B	5870	F	N
961	A	5871	F	N
612	B	5871	F	N
708	A	5872	F	N
1293	B	5872	F	N
1038	A	5873	F	N
519	B	5873	F	N
790	A	5874	F	N
868	B	5874	F	N
1106	A	5875	F	N
530	B	5875	F	N
1132	A	5876	F	N
1050	B	5876	F	N
708	A	5877	F	N
974	B	5877	F	N
329	A	5878	F	N
1007	B	5878	F	N
644	A	5879	F	N
812	B	5879	F	N
446	A	5880	F	N
728	B	5880	F	N
804	A	5881	F	N
768	B	5881	F	N
640	A	5882	F	N
504	B	5882	F	N
919	A	5883	F	N
992	B	5883	F	N
544	A	5884	F	N
886	B	5884	F	N
450	A	5885	F	N
1086	B	5885	F	N
755	A	5886	F	N
1060	B	5886	F	N
730	A	5887	F	N
1079	B	5887	F	N
971	A	5888	F	N
842	B	5888	F	N
1057	A	5889	F	N
596	B	5889	F	N
941	A	5890	F	N
614	B	5890	F	N
768	A	5891	F	N
959	B	5891	F	N
542	A	5892	F	N
1053	B	5892	F	N
716	A	5893	F	N
653	B	5893	F	N
645	A	5894	F	N
788	B	5894	F	N
716	A	5895	F	N
475	B	5895	F	N
1045	A	5896	F	N
481	B	5896	F	N
732	A	5897	F	N
677	B	5897	F	N
1228	A	5898	F	N
967	B	5898	F	N
586	A	5899	F	N
541	B	5899	F	N
518	A	5900	F	N
922	B	5900	F	N
809	A	5901	F	N
459	B	5901	F	N
438	A	5902	F	N
1084	B	5902	F	N
1084	A	5903	F	N
242	B	5903	F	N
1166	A	5904	F	N
591	B	5904	F	N
946	A	5905	F	N
494	B	5905	F	N
596	A	5906	F	N
1002	B	5906	F	N
883	A	5907	F	N
906	B	5907	F	N
982	A	5908	F	N
389	B	5908	F	N
1069	A	5909	F	N
532	B	5909	F	N
723	A	5910	F	N
644	B	5910	F	N
605	A	5911	F	N
963	B	5911	F	N
413	A	5912	F	N
597	B	5912	F	N
614	A	5913	F	N
1130	B	5913	F	N
740	A	5914	F	N
691	B	5914	F	N
794	A	5915	F	N
543	B	5915	F	N
500	A	5916	F	N
757	B	5916	F	N
496	A	5917	F	N
540	B	5917	F	N
528	A	5918	F	N
530	B	5918	F	N
589	A	5919	F	N
1039	B	5919	F	N
1070	A	5920	F	N
552	B	5920	F	N
751	A	5921	F	N
514	B	5921	F	N
536	A	5922	F	N
1071	B	5922	F	N
1176	A	5923	F	N
350	B	5923	F	N
848	A	5924	F	N
842	B	5924	F	N
551	A	5925	F	N
480	B	5925	F	N
774	A	5926	F	N
556	B	5926	F	N
893	A	5927	F	N
353	B	5927	F	N
864	A	5928	F	N
446	B	5928	F	N
814	A	5929	F	N
468	B	5929	F	N
423	A	5930	F	N
667	B	5930	F	N
242	A	5931	F	N
1149	B	5931	F	N
364	A	5932	F	N
971	B	5932	F	N
547	A	5933	F	N
1095	B	5933	F	N
250	A	5934	F	N
1103	B	5934	F	N
553	A	5935	F	N
884	B	5935	F	N
573	A	5936	F	N
854	B	5936	F	N
446	A	5937	F	N
803	B	5937	F	N
847	A	5938	F	N
537	B	5938	F	N
366	A	5939	F	N
940	B	5939	F	N
982	A	5940	F	N
514	B	5940	F	N
689	A	5941	F	N
910	B	5941	F	N
679	A	5942	F	N
909	B	5942	F	N
879	A	5943	F	N
628	B	5943	F	N
677	A	5944	F	N
817	B	5944	F	N
597	A	5945	F	N
850	B	5945	F	N
686	A	5946	F	N
922	B	5946	F	N
734	A	5947	F	N
879	B	5947	F	N
586	A	5948	F	N
662	B	5948	F	N
677	A	5949	F	N
800	B	5949	F	N
835	A	5950	F	N
667	B	5950	F	N
756	A	5951	F	N
833	B	5951	F	N
674	A	5952	F	N
831	B	5952	F	N
1030	A	5953	F	N
666	B	5953	F	N
619	A	5954	F	N
1070	B	5954	F	N
833	A	5955	F	N
646	B	5955	F	N
886	A	5956	F	N
631	B	5956	F	N
787	A	5957	F	N
776	B	5957	F	N
893	A	5958	F	N
468	B	5958	F	N
782	A	5959	F	N
549	B	5959	F	N
474	A	5960	F	N
971	B	5960	F	N
732	A	5961	F	N
760	B	5961	F	N
641	A	5962	F	N
621	B	5962	F	N
860	A	5963	F	N
610	B	5963	F	N
641	A	5964	F	N
838	B	5964	F	N
771	A	5965	F	N
575	B	5965	F	N
1101	A	5966	F	N
346	B	5966	F	N
486	A	5967	F	N
1227	B	5967	F	N
600	A	5968	F	N
846	B	5968	F	N
632	A	5969	F	N
775	B	5969	F	N
938	A	5970	F	N
625	B	5970	F	N
506	A	5971	F	N
1044	B	5971	F	N
607	A	5972	F	N
746	B	5972	F	N
1009	A	5973	F	N
508	B	5973	F	N
810	A	5974	F	N
737	B	5974	F	N
862	A	5975	F	N
655	B	5975	F	N
841	A	5976	F	N
685	B	5976	F	N
777	A	5977	F	N
357	B	5977	F	N
867	A	5978	F	N
685	B	5978	F	N
356	A	5979	F	N
1185	B	5979	F	N
598	A	5980	F	N
767	B	5980	F	N
853	A	5981	F	N
663	B	5981	F	N
836	A	5982	F	N
726	B	5982	F	N
291	A	5983	F	N
1102	B	5983	F	N
766	A	5984	F	N
810	B	5984	F	N
402	A	5985	F	N
916	B	5985	F	N
823	A	5986	F	N
1004	B	5986	F	N
402	A	5987	F	N
915	B	5987	F	N
866	A	5988	F	N
930	B	5988	F	N
931	A	5989	F	N
501	B	5989	F	N
748	A	5990	F	N
552	B	5990	F	N
230	A	5991	F	N
882	B	5991	F	N
442	A	5992	F	N
1071	B	5992	F	N
1077	A	5993	F	N
707	B	5993	F	N
1363	A	5994	F	N
388	B	5994	F	N
930	A	5995	F	N
581	B	5995	F	N
1175	A	5996	F	N
891	B	5996	F	N
658	A	5997	F	N
481	B	5997	F	N
818	A	5998	F	N
498	B	5998	F	N
1046	A	5999	F	N
326	B	5999	F	N
1442	A	6000	F	N
741	B	6000	F	N
750	A	6001	F	N
962	B	6001	F	N
777	A	6002	F	N
669	B	6002	F	N
1046	A	6003	F	N
295	B	6003	F	N
717	A	6004	F	N
610	B	6004	F	N
895	A	6005	F	N
749	B	6005	F	N
1009	A	6006	F	N
312	B	6006	F	N
694	A	6007	F	N
566	B	6007	F	N
636	A	6008	F	N
644	B	6008	F	N
382	A	6009	F	N
671	B	6009	F	N
677	A	6010	F	N
949	B	6010	F	N
545	A	6011	F	N
701	B	6011	F	N
610	A	6012	F	N
894	B	6012	F	N
744	A	6013	F	N
557	B	6013	F	N
820	A	6014	F	N
451	B	6014	F	N
415	A	6015	F	N
953	B	6015	F	N
1043	A	6016	F	N
585	B	6016	F	N
601	A	6017	F	N
899	B	6017	F	N
628	A	6018	F	N
999	B	6018	F	N
808	A	6019	F	N
818	B	6019	F	N
792	A	6020	F	N
815	B	6020	F	N
695	A	6021	F	N
672	B	6021	F	N
846	A	6022	F	N
503	B	6022	F	N
835	A	6023	F	N
507	B	6023	F	N
763	A	6024	F	N
528	B	6024	F	N
1316	A	6025	F	N
436	B	6025	F	N
912	A	6026	F	N
558	B	6026	F	N
428	A	6027	F	N
866	B	6027	F	N
1051	A	6028	F	N
861	B	6028	F	N
878	A	6029	F	N
547	B	6029	F	N
589	A	6030	F	N
948	B	6030	F	N
397	A	6031	F	N
1077	B	6031	F	N
784	A	6032	F	N
522	B	6032	F	N
447	A	6033	F	N
1293	B	6033	F	N
1003	A	6034	F	N
364	B	6034	F	N
1002	A	6035	F	N
1369	B	6035	F	N
1089	A	6036	F	N
608	B	6036	F	N
1085	A	6037	F	N
929	B	6037	F	N
595	A	6038	F	N
936	B	6038	F	N
937	A	6039	F	N
659	B	6039	F	N
1035	A	6040	F	N
610	B	6040	F	N
880	A	6041	F	N
939	B	6041	F	N
1312	A	6042	F	N
591	B	6042	F	N
1027	A	6043	F	N
1271	B	6043	F	N
926	A	6044	F	N
732	B	6044	F	N
803	A	6045	F	N
1276	B	6045	F	N
1427	A	6046	F	N
556	B	6046	F	N
1321	A	6047	F	N
920	B	6047	F	N
1131	A	6048	F	N
947	B	6048	F	N
1224	A	6049	F	N
1317	B	6049	F	N
1145	A	6050	F	N
992	B	6050	F	N
865	A	6051	F	N
1136	B	6051	F	N
752	A	6052	F	N
1097	B	6052	F	N
1515	A	6053	F	N
241	B	6053	F	N
1256	A	6054	F	N
936	B	6054	F	N
1157	A	6055	F	N
983	B	6055	F	N
1403	A	6056	F	N
767	B	6056	F	N
905	A	6057	F	N
1087	B	6057	F	N
1245	A	6058	F	N
669	B	6058	F	N
1514	A	6059	F	N
933	B	6059	F	N
787	A	6060	F	N
1122	B	6060	F	N
1058	A	6061	F	N
942	B	6061	F	N
1509	A	6062	F	N
726	B	6062	F	N
704	A	6063	F	N
703	B	6063	F	N
1519	A	6064	F	N
515	B	6064	F	N
1070	A	6065	F	N
809	B	6065	F	N
757	A	6066	F	N
1156	B	6066	F	N
1117	A	6067	F	N
967	B	6067	F	N
1181	A	6068	F	N
802	B	6068	F	N
832	A	6069	F	N
1137	B	6069	F	N
817	A	6070	F	N
1248	B	6070	F	N
1033	A	6071	F	N
1143	B	6071	F	N
845	A	6072	F	N
833	B	6072	F	N
695	A	6073	F	N
2060	B	6073	F	N
931	A	6074	F	N
714	B	6074	F	N
996	A	6075	F	N
974	B	6075	F	N
528	A	6076	F	N
1170	B	6076	F	N
1040	A	6077	F	N
665	B	6077	F	N
869	A	6078	F	N
1284	B	6078	F	N
1457	A	6079	F	N
790	B	6079	F	N
1303	A	6080	F	N
535	B	6080	F	N
711	A	6081	F	N
1154	B	6081	F	N
1257	A	6082	F	N
815	B	6082	F	N
719	A	6083	F	N
752	B	6083	F	N
785	A	6084	F	N
1191	B	6084	F	N
1332	A	6085	F	N
578	B	6085	F	N
869	A	6086	F	N
1197	B	6086	F	N
649	A	6087	F	N
1178	B	6087	F	N
848	A	6088	F	N
1162	B	6088	F	N
869	A	6089	F	N
1168	B	6089	F	N
1017	A	6090	F	N
938	B	6090	F	N
736	A	6091	F	N
1378	B	6091	F	N
908	A	6092	F	N
1089	B	6092	F	N
1739	A	6093	F	N
907	B	6093	F	N
1377	A	6094	F	N
757	B	6094	F	N
843	A	6095	F	N
1283	B	6095	F	N
1132	A	6096	F	N
706	B	6096	F	N
587	A	6097	F	N
1043	B	6097	F	N
510	A	6098	F	N
1185	B	6098	F	N
1232	A	6099	F	N
1086	B	6099	F	N
1318	A	6100	F	N
301	B	6100	F	N
551	A	6101	F	N
1311	B	6101	F	N
1048	A	6102	F	N
765	B	6102	F	N
796	A	6103	F	N
1062	B	6103	F	N
1344	A	6104	F	N
723	B	6104	F	N
1229	A	6105	F	N
971	B	6105	F	N
696	A	6106	F	N
1366	B	6106	F	N
1171	A	6107	F	N
1103	B	6107	F	N
753	A	6108	F	N
961	B	6108	F	N
855	A	6109	F	N
1179	B	6109	F	N
940	A	6110	F	N
1041	B	6110	F	N
927	A	6111	F	N
1073	B	6111	F	N
725	A	6112	F	N
1023	B	6112	F	N
1260	A	6113	F	N
681	B	6113	F	N
735	A	6114	F	N
1283	B	6114	F	N
1177	A	6115	F	N
886	B	6115	F	N
789	A	6116	F	N
1132	B	6116	F	N
1126	A	6117	F	N
541	B	6117	F	N
1479	A	6118	F	N
806	B	6118	F	N
1231	A	6119	F	N
976	B	6119	F	N
999	A	6120	F	N
1317	B	6120	F	N
624	A	6121	F	N
1633	B	6121	F	N
1300	A	6122	F	N
460	B	6122	F	N
981	A	6123	F	N
905	B	6123	F	N
1181	A	6124	F	N
757	B	6124	F	N
1144	A	6125	F	N
873	B	6125	F	N
745	A	6126	F	N
971	B	6126	F	N
683	A	6127	F	N
1326	B	6127	F	N
870	A	6128	F	N
815	B	6128	F	N
1192	A	6129	F	N
835	B	6129	F	N
1050	A	6130	F	N
863	B	6130	F	N
960	A	6131	F	N
807	B	6131	F	N
872	A	6132	F	N
1185	B	6132	F	N
748	A	6133	F	N
1413	B	6133	F	N
1138	A	6134	F	N
924	B	6134	F	N
877	A	6135	F	N
1224	B	6135	F	N
1097	A	6136	F	N
1015	B	6136	F	N
822	A	6137	F	N
1000	B	6137	F	N
1133	A	6138	F	N
1242	B	6138	F	N
1145	A	6139	F	N
699	B	6139	F	N
939	A	6140	F	N
842	B	6140	F	N
1027	A	6141	F	N
1129	B	6141	F	N
879	A	6142	F	N
792	B	6142	F	N
1406	A	6143	F	N
626	B	6143	F	N
640	A	6144	F	N
1164	B	6144	F	N
1026	A	6145	F	N
805	B	6145	F	N
785	A	6146	F	N
1075	B	6146	F	N
1263	A	6147	F	N
1035	B	6147	F	N
1156	A	6148	F	N
834	B	6148	F	N
1199	A	6149	F	N
784	B	6149	F	N
1466	A	6150	F	N
871	B	6150	F	N
847	A	6151	F	N
1041	B	6151	F	N
1051	A	6152	F	N
1029	B	6152	F	N
1354	A	6153	F	N
771	B	6153	F	N
643	A	6154	F	N
1561	B	6154	F	N
1332	A	6155	F	N
886	B	6155	F	N
826	A	6156	F	N
1192	B	6156	F	N
961	A	6157	F	N
1011	B	6157	F	N
1343	A	6158	F	N
1167	B	6158	F	N
742	A	6159	F	N
1844	B	6159	F	N
1416	A	6160	F	N
650	B	6160	F	N
1290	A	6161	F	N
736	B	6161	F	N
982	A	6162	F	N
1155	B	6162	F	N
1090	A	6163	F	N
809	B	6163	F	N
264	A	6164	F	N
2244	B	6164	F	N
949	A	6165	F	N
819	B	6165	F	N
841	A	6166	F	N
964	B	6166	F	N
1183	A	6167	F	N
606	B	6167	F	N
1066	A	6168	F	N
743	B	6168	F	N
1158	A	6169	F	N
975	B	6169	F	N
636	A	6170	F	N
1285	B	6170	F	N
837	A	6171	F	N
748	B	6171	F	N
1382	A	6172	F	N
593	B	6172	F	N
1389	A	6173	F	N
927	B	6173	F	N
1356	A	6174	F	N
401	B	6174	F	N
931	A	6175	F	N
562	B	6175	F	N
820	A	6176	F	N
702	B	6176	F	N
1466	A	6177	F	N
641	B	6177	F	N
815	A	6178	F	N
1005	B	6178	F	N
863	A	6179	F	N
1293	B	6179	F	N
822	A	6180	F	N
1068	B	6180	F	N
546	A	6181	F	N
1178	B	6181	F	N
1004	A	6182	F	N
937	B	6182	F	N
981	A	6183	F	N
631	B	6183	F	N
803	A	6184	F	N
1226	B	6184	F	N
1280	A	6185	F	N
947	B	6185	F	N
855	A	6186	F	N
1607	B	6186	F	N
1033	A	6187	F	N
980	B	6187	F	N
834	A	6188	F	N
1393	B	6188	F	N
1027	A	6189	F	N
1067	B	6189	F	N
1418	A	6190	F	N
852	B	6190	F	N
1170	A	6191	F	N
783	B	6191	F	N
1656	A	6192	F	N
653	B	6192	F	N
571	A	6193	F	N
1477	B	6193	F	N
897	A	6194	F	N
1249	B	6194	F	N
915	A	6195	F	N
862	B	6195	F	N
1305	A	6196	F	N
877	B	6196	F	N
853	A	6197	F	N
726	B	6197	F	N
1369	A	6198	F	N
359	B	6198	F	N
521	A	6199	F	N
1530	B	6199	F	N
1031	A	6200	F	N
1282	B	6200	F	N
750	A	6201	F	N
1306	B	6201	F	N
1453	A	6202	F	N
656	B	6202	F	N
1159	A	6203	F	N
1066	B	6203	F	N
247	A	6204	F	N
1120	B	6204	F	N
731	A	6205	F	N
1091	B	6205	F	N
422	A	6206	F	N
981	B	6206	F	N
1054	A	6207	F	N
1201	B	6207	F	N
1319	A	6208	F	N
671	B	6208	F	N
991	A	6209	F	N
1225	B	6209	F	N
908	A	6210	F	N
1261	B	6210	F	N
948	A	6211	F	N
1266	B	6211	F	N
1267	A	6212	F	N
869	B	6212	F	N
643	A	6213	F	N
1341	B	6213	F	N
946	A	6214	F	N
642	B	6214	F	N
